"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void mul_mat_vec_q<(ggml_type)14, 1, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",1,1749281,1749281.000000,0.1052,1749281,1749281,0.00000000e+00
"__amd_rocclr_copyBuffer",229,1236000,5397.379913,0.0744,3040,12640,2713.113079
"void k_get_rows_float<float, float>(float const*, int const*, float*, long, long, HIP_vector_type<unsigned int, 3u>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",97,975682,10058.577320,0.0587,4000,17920,5965.708087
"void unary_gated_op_kernel<&(op_sigmoid(float)), float>(float const*, float const*, float*, long, long, long, long)",16,903680,56480.000000,0.0544,55680,57440,460.028985
"scale_f32(float const*, float*, float, float, long)",96,776800,8091.666667,0.0467,2720,13760,4463.291838
"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",32,417280,13040.000000,0.0251,12480,13440,298.642088
"__amd_rocclr_fillBufferAligned",2,297600,148800.000000,0.0179,58880,238720,127166.083529
"void k_bin_bcast<&(op_mul(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",48,220800,4600.000000,0.0133,4320,5120,160.000000
"void unary_op_kernel<&(op_softplus(float)), float>(float const*, float*, int)",48,175840,3663.333333,0.0106,3360,4480,148.486454
"void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)",48,173600,3616.666667,0.0104,3040,4320,210.665948
"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",1,4160,4160.000000,2.503e-04,4160,4160,0.00000000e+00
