"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",176,23679223,134541.039773,0.2964,4800,226400,80613.497985
"void rms_norm_f32<256, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",80,23029617,287870.212500,0.2883,46080,401760,128229.631266
"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",129,22151700,171718.604651,0.2773,158880,401441,25096.390790
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(float const*, int const*, void*, long, long, long, long, long, int, int)",64,17834098,278657.781250,0.2232,125600,424961,144727.982087
"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int)",16,11544008,721500.500000,0.1445,703681,742881,18041.261161
"void cpy_scalar<&(void cpy_1_scalar<float, float>(char const*, char*))>(char const*, char*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)",64,8671368,135490.125000,0.1085,7840,538880,221288.295699
"void l2_norm_f32<32>(float const*, float*, int, long, long, long, float)",96,8288327,86336.739583,0.1038,84000,125760,4146.271053
"void rope_multi<true, false, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, mrope_sections, bool)",32,7898087,246815.218750,0.0989,72640,432160,173370.810100
"void unary_gated_op_kernel<&(op_sigmoid(float)), float>(float const*, float const*, float*, long, long, long, long)",16,3485604,217850.250000,0.0436,216801,219201,631.810256
"void mul_mat_vec_q<(ggml_type)14, 1, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",1,1765602,1765602.000000,0.0221,1765602,1765602,0.00000000e+00
"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",32,1377121,43035.031250,0.0172,40640,84960,7713.956875
"__amd_rocclr_copyBuffer",228,1292640,5669.473684,0.0162,2880,26400,3482.766848
"void flash_attn_mask_to_KV_max<16>(__half2 const*, int*, int, int, int)",16,1179680,73730.000000,0.0148,71680,75680,1024.031250
"void k_get_rows_float<float, float>(float const*, int const*, float*, long, long, HIP_vector_type<unsigned int, 3u>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",97,980320,10106.391753,0.0123,4000,16640,5960.075186
"scale_f32(float const*, float*, float, float, long)",96,828480,8630.000000,0.0104,3520,53760,6453.703629
"__amd_rocclr_fillBufferAligned",2,744960,372480.000000,9.325e-03,236800,508160,191880.496143
"void k_bin_bcast<&(op_mul(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",48,242080,5043.333333,3.030e-03,4800,6720,283.903889
"void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)",48,177280,3693.333333,2.219e-03,3520,4480,177.228466
"void unary_op_kernel<&(op_softplus(float)), float>(float const*, float*, int)",48,176960,3686.666667,2.215e-03,2880,5920,358.467977
"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",1,3680,3680.000000,4.607e-05,3680,3680,0.00000000e+00
